rank,name,total_points,spend,median_score,num_events,countback_summary,Leaderboard,Unnamed: 1,R01,R02,R03,R04,R05,R06,R07,R08,R09,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,Total,Unnamed: 27,Unnamed: 28
1,Points Totals,17868.0,0.0,773.5,22,1377.0 (x1),,Points Totals,805,1217,714,870,876,1089,600,584,537,916,699,611,1377,744,803,454,579,649,1094,891,1061,698,0,0,17868,2677.29,0.15
2,Spending Totals,2677.2899999999995,0.0,128.07999999999998,22,152.43000000000004 (x1),,Spending Totals,152.43000000000004,152.36,138.34,146.86,121.47999999999999,131.1,81.59,81.58000000000001,105.51,127.08999999999997,129.06999999999996,106.79000000000002,148.53,117.4,126.45,71.23,132.97,108.97,135.68,103.28999999999999,129.26,129.31,0,0,2677.29,3481.25,803.9600000000002
3,Team Overbudget,1101.0,0.0,43.0,22,124.0 (x1),21,Team Overbudget,45,-,26,25,51,124,38,54,29,57,37,35,92,34,53,42,14,41,72,58,109,44,,,1080,132,0.122
4,GSR Racing,1073.0,0.0,49.0,23,71.0 (x1),13,GSR Racing,53,71,49,50,35,52,40,40,47,51,56,37,52,45,33,42,38,37,64,61,57,50,,,1060,135.32,0.128
5,Wu Racing,1054.0,0.0,46.5,20,116.0 (x1),25,Wu Racing,45,115,38,50,41,-,47,-,31,39,46,77,116,62,54,-,51,37,64,26,68,22,,,1029,138.03,0.134
6,Cocoa Pops,1002.0,0.0,45.0,21,79.0 (x1),1,Cocoa Pops,45,63,28,43,40,73,45,64,19,75,-,37,72,-,79,42,28,37,73,51,63,24,,,1001,139.27,0.139
7,Toto's Side Hustle,954.0,0.0,53.5,18,88.0 (x2),24,Toto's Side Hustle,52,88,49,-,76,D$Q,D$Q,30,16,79,32,62,88,D$Q,D$Q,30,12,55,84,72,87,18,,,930,149.23,0.16
8,PetricaF1,938.0,0.0,39.0,20,120.0 (x1),17,PetricaF1,28,49,29,24,47,92,41,2,33,44,25,-,120,44,63,-,-,37,106,19,84,34,,,921,141.31,0.153
9,Still Part Of The Tifosi,931.0,0.0,47.0,21,71.0 (x1),20,Still Part Of The Tifosi,37,53,20,38,50,71,D$Q,D$Q,27,55,29,55,52,62,58,67,47,38,37,48,47,20,,,911,137.64,0.151
10,Fastlapp,928.0,0.0,38.0,23,82.0 (x1),11,Fastlapp,38,34,35,42,27,82,40,45,42,60,25,39,70,28,35,32,14,22,56,54,69,28,,,917,130.83,0.143
11,Maranello Scuds,928.0,0.0,49.0,20,78.0 (x1),15,Maranello Scuds,33,48,36,50,52,78,D$Q,D$Q,42,56,51,46,55,50,60,D$Q,14,41,47,62,64,28,,,913,137.51,0.151
12,Lapped Judgement,904.0,0.0,50.5,20,90.0 (x1),14,Lapped Judgement,90,26,39,-,59,55,36,56,20,50,15,12,60,52,24,-,51,68,65,-,70,42,,,890,130.1,0.146
13,ThirstTrap Racing,878.0,0.0,38.0,21,82.0 (x1),22,ThirstTrap Racing,31,36,30,43,47,73,36,20,46,36,25,37,82,14,47,39,38,-,78,43,-,55,,,856,124.94,0.146
14,Green Eggs and Hamilton,876.0,0.0,46.5,20,80.0 (x1),12,Green Eggs and Hamilton,12,46,37,16,47,64,53,48,37,28,-,32,60,43,49,36,50,-,80,76,-,50,,,864,130.4,0.151
15,El Gato Gordo,870.0,0.0,74.0,12,120.0 (x1),9,El Gato Gordo,-,115,69,73,0,-,-,-,-,-,-,-,120,93,75,D$Q,30,69,-,75,99,43,,,861,136.63,0.159
16,OSRacing,831.0,0.0,48.0,16,106.0 (x1),16,OSRacing,-,101,-,73,-,106,D$Q,-,42,46,33,24,52,-,75,D$Q,49,56,55,22,34,47,,,815,131.96,0.162
17,Don't Panic,816.0,0.0,37.0,23,76.0 (x1),8,Don't Panic,34,34,40,34,50,40,37,42,23,49,16,35,39,10,48,31,14,30,76,40,49,37,,,808,133.87,0.166
18,Dakota Eastern Racing,810.0,0.0,39.0,20,94.0 (x1),4,Dakota Eastern Racing,43,59,39,37,44,51,34,32,34,23,25,41,94,39,42,D$Q,38,-,61,51,-,19,,,806,130.68,0.162
19,F1sh Racing,713.0,0.0,49.0,16,83.0 (x1),10,F1sh Racing,-,53,16,62,61,-,46,55,-,45,52,-,-,-,8,44,14,30,76,58,83,-,,,703,104.66,0.149
20,Racing with a Porpoise,698.0,0.0,51.0,13,115.0 (x1),19,Racing with a Porpoise,-,115,69,90,D$Q,6,-,-,7,-,35,-,85,62,-,49,49,51,-,-,-,61,,,679,110.75,0.163
21,Dee Team,610.0,0.0,46.0,13,68.0 (x2),5,Dee Team,37,54,46,65,D$Q,62,D$Q,D$Q,42,68,57,42,68,36,D$Q,D$Q,28,-,-,-,-,-,,,605,103.37,0.171
22,Craized Rhino Racing (CRR),463.0,0.0,56.0,11,70.0 (x1),2,Craized Rhino Racing (CRR),56,57,19,55,62,60,14,3,-,-,65,-,-,70,-,-,-,-,-,-,-,-,,,461,73.11,0.159
23,Cumberbatch Valentine,374.0,0.0,65.0,6,93.0 (x2),3,Cumberbatch Valentine,55,-,-,-,-,-,93,93,-,55,75,-,-,-,-,-,-,-,-,-,-,-,,,371,59.22,0.16
24,Toto's Side Hustle,173.23,0.0,9.015,18,24.0 (x1),24,Toto's Side Hustle,11.02,11.8,10.48,-,9.97,D$Q,D$Q,6.69,8.5,7.68,8.34,9.53,10.68,D$Q,D$Q,5.02,5.5,7.56,8.28,7.81,9.66,10.71,,,149.23,150,0.77
25,Wu Racing,163.03000000000003,0.0,6.71,21,25.0 (x1),25,Wu Racing,3.09,13.13,8.62,7.33,4.89,-,5.72,-,6.71,6.63,5.84,11.04,11.94,8.87,4.6,1.28,7.84,4.36,10.96,3.46,9.12,2.6,,,138.03,150,11.97
26,Dollar Sainz,162.0,0.0,40.0,4,75.0 (x1),7,Dollar Sainz,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,75,22,58,,,155,18.24,0.118
27,PetricaF1,158.31,0.0,6.65,21,17.0 (x1),17,PetricaF1,5.4,6.65,4.28,9.12,6.08,12.37,4.79,1.29,7.99,5.85,7.84,-,14.29,5.48,6.9,1.61,-,8.1,13.96,2.04,13,4.27,,,141.31,150,8.69
28,Still Part Of The Tifosi,157.64,0.0,6.82,21,20.0 (x1),20,Still Part Of The Tifosi,12.72,5.65,4.78,5.81,6.52,9.74,D$Q,D$Q,4.15,5.02,4.82,9.04,3.83,9,7.27,7.7,7.42,6.82,6.6,6.49,7.1,7.16,,,137.64,150,12.36
29,Team Overbudget,153.00000000000003,0.0,5.555,22,21.0 (x1),21,Team Overbudget,3.09,-,3.03,3.03,6.94,14.2,6.9,5.5,3.95,4.82,4.05,5.04,8.35,4.91,6.29,5.61,6.19,5.08,11.6,5.31,11.99,6.12,,,132,150,18
30,Maranello Scuds,152.51,0.0,7.28,20,15.0 (x1),15,Maranello Scuds,9.58,6.98,8.91,8.41,7.56,7.72,D$Q,D$Q,5.99,5.05,7.5,6.57,6.28,7.14,7.33,D$Q,6.19,8.71,7.81,6.46,6.09,7.23,,,137.51,150,12.49
31,GSR Racing,148.32000000000002,0.0,6.15,23,13.0 (x1),13,GSR Racing,5.86,5.98,8.44,6.39,5.99,6.15,7.16,5.06,4.93,5.83,7.54,6.74,5.59,4.33,6.94,6.48,5.59,4.84,5.78,6.27,6.69,6.74,,,135.32,150,14.68
32,OSRacing,147.95999999999998,0.0,8.74,16,16.0 (x1),16,OSRacing,-,12.22,-,13.31,-,13.41,D$Q,-,9.42,7.77,6.68,4.87,6.35,-,14.38,D$Q,12.54,9.49,8.06,2.49,5.04,5.93,,,131.96,143.75,11.79
33,ThirstTrap Racing,146.94,0.0,6.06,21,22.0 (x1),22,ThirstTrap Racing,6.44,4.19,7.58,6.5,6.59,8.4,5.1,4.5,5.77,6.06,5.53,6.4,8.89,3.58,5.51,4.4,4.13,-,8.96,4.98,-,11.43,,,124.94,150,25.06
34,El Gato Gordo,145.63,0.0,13.535,12,14.38 (x1),9,El Gato Gordo,-,13.13,13.83,13.92,1.61,-,-,-,-,-,-,-,14.29,14.15,14.38,D$Q,14.1,12.52,-,11.46,13.24,-,,,136.63,143.75,7.12
35,Lapped Judgement,144.10000000000002,0.0,6.76,20,14.0 (x1),14,Lapped Judgement,13.46,4.77,5.43,-,7.7,6.84,5.15,6.27,4.51,4.99,3.57,6.09,7.53,7.48,6.26,-,7.34,8.17,6.68,-,9.5,8.36,,,130.1,150,19.9
36,Green Eggs and Hamilton,142.39999999999998,0.0,6.335,20,12.0 (x1),12,Green Eggs and Hamilton,5.65,6.39,5.81,6.11,6.09,6.51,6.32,6.17,5.81,6.35,-,5.7,5.75,6.19,6.81,6.78,8.85,-,11.06,8.26,-,9.79,,,130.4,150,19.6
37,Don't Panic,141.86999999999998,0.0,5.96,23,14.17 (x1),8,Don't Panic,5.96,2.76,6.76,5.46,7.33,7.17,5.75,8.49,6.66,14.17,4.23,4.96,4.68,2.82,5.95,6.34,6.19,6.19,5.37,3.9,6.79,5.94,,,133.87,150,16.13
38,Fastlapp,141.82999999999998,0.0,6.19,23,11.0 (x1),11,Fastlapp,2.4,2.76,4.92,7.02,4.78,9.67,7.16,4.35,6.19,5.41,7.74,9.43,6.02,7.15,8.41,4.3,6.19,2.99,8.4,4.23,8.49,2.82,,,130.83,150,19.17
39,Cocoa Pops,140.27,0.0,6.77,21,11.37 (x1),1,Cocoa Pops,8.83,5.69,5.49,6.92,5.15,7.85,5.46,7.24,5.05,6.52,-,6.9,6.11,-,11.37,6.48,8.37,8.88,5.85,6.77,7.3,7.04,,,139.27,150,10.73
40,DL41,136.0,0.0,43.0,3,87.0 (x1),6,DL41,43,-,-,-,87,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,130,26.13,0.201
41,Dakota Eastern Racing,134.68,0.0,6.5600000000000005,20,10.94 (x1),4,Dakota Eastern Racing,8.88,6.94,6.01,6.6,5.37,6.11,4.99,4.95,8.1,6.62,5.7,6.54,9.97,6.58,6.19,D$Q,6.3,-,10.94,6.59,-,7.3,,,130.68,150,19.32
42,Racing with a Porpoise,129.75,0.0,9.07,13,19.0 (x1),19,Racing with a Porpoise,-,13.13,13.83,13.92,D$Q,0.81,-,-,5.45,-,8.04,-,8.78,9.31,-,8.98,6.64,9.07,-,-,-,12.79,,,110.75,143.75,33
43,F1sh Racing,114.66,0.0,6.79,16,10.0 (x1),10,F1sh Racing,-,5.65,4.28,9.71,7.61,-,5.22,7.33,-,9.27,9.64,-,-,-,7.86,6.25,6.19,6.19,5.37,5.31,8.78,-,,,104.66,143.75,39.09
44,Dee Team,108.36999999999999,0.0,8.13,13,12.08 (x1),5,Dee Team,12.08,10.39,10.55,8.99,D$Q,7.62,D$Q,D$Q,6.33,6.52,8.13,7.94,9.2,8.22,D$Q,D$Q,7.4,-,-,-,-,-,,,103.37,150,46.63
45,Toto Recall,97.0,0.0,23.0,3,56.0 (x1),23,Toto Recall,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,56,18,,,74,12.77,0.173
46,Craized Rhino Racing (CRR),75.11,0.0,7.17,11,12.19 (x1),2,Craized Rhino Racing (CRR),11.45,7.17,5.31,8.31,7.43,6.53,1.93,1.72,-,-,11.07,-,-,12.19,-,-,-,-,-,-,-,-,,,73.11,150,76.89
47,Cumberbatch Valentine,62.22,0.0,11.969999999999999,6,12.81 (x1),3,Cumberbatch Valentine,11.92,-,-,-,-,-,9.94,12.02,-,12.53,12.81,-,-,-,-,-,-,-,-,-,-,-,,,59.22,150,90.78
48,Prancing Turtles F1 Team,46.0,0.0,23.0,2,28.0 (x1),18,Prancing Turtles F1 Team,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,28,9.32,0.333
49,Toto Recall,35.769999999999996,0.0,6.47,3,23.0 (x1),23,Toto Recall,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.47,6.3,,,12.77,25,12.23
50,DL41,32.129999999999995,0.0,12.26,3,13.87 (x1),6,DL41,12.26,-,-,-,13.87,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,26.13,150,123.87
51,Prancing Turtles F1 Team,27.32,0.0,6.98,3,18.0 (x1),18,Prancing Turtles F1 Team,2.34,6.98,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,9.32,150,140.68
52,Dollar Sainz,25.240000000000002,0.0,7.0,3,11.46 (x1),7,Dollar Sainz,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11.46,-,6.78,,,18.24,31.25,13.01
53,Player,0.0,0.0,0.0,0,0.0 (x0),Pos,Player,Pts,Pts,Pts,Pts,Pts,Pts,Pts,Pts,Pts,Pts,Pts,Pts,Pts,Pts,Pts,Pts,Pts,Pts,Pts,Pts,Pts,Pts,Pts,Pts,Points,Spent ($m),$m/Pt
54,Player,0.0,0.0,0.0,0,0.0 (x0),Pos,Player,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m,Spent ($m),Budget ($m),Bal ($m)
